Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-03
Vertical Offset,-7.500000E-04
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808352
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.4271000000E+00,+1.060417E-03
-2.4266000000E+00,+9.479166E-04
-2.4261000000E+00,+8.041667E-04
-2.4256000000E+00,+6.395833E-04
-2.4251000000E+00,+9.104167E-04
-2.4246000000E+00,+8.500000E-04
-2.4241000000E+00,+8.791666E-04
-2.4236000000E+00,+8.729167E-04
-2.4231000000E+00,+8.041667E-04
-2.4226000000E+00,+7.270834E-04
-2.4221000000E+00,+7.875000E-04
-2.4216000000E+00,+1.287500E-03
-2.4211000000E+00,+1.068750E-03
-2.4206000000E+00,+7.187500E-04
-2.4201000000E+00,+7.854167E-04
-2.4196000000E+00,+6.750000E-04
-2.4191000000E+00,+9.729167E-04
-2.4186000000E+00,+1.129167E-03
-2.4181000000E+00,+7.312500E-04
-2.4176000000E+00,+5.562500E-04
-2.4171000000E+00,+5.854167E-04
-2.4166000000E+00,+6.395833E-04
-2.4161000000E+00,+8.645834E-04
-2.4156000000E+00,+7.062500E-04
-2.4151000000E+00,+7.062500E-04
-2.4146000000E+00,+1.479167E-04
-2.4141000000E+00,+4.791667E-04
-2.4136000000E+00,+5.750000E-04
-2.4131000000E+00,+8.708333E-04
-2.4126000000E+00,+6.354167E-04
-2.4121000000E+00,+4.458333E-04
-2.4116000000E+00,-6.875000E-05
-2.4111000000E+00,+4.625000E-04
-2.4106000000E+00,+2.312500E-04
-2.4101000000E+00,+5.666667E-04
-2.4096000000E+00,+6.250000E-04
-2.4091000000E+00,+5.208333E-05
-2.4086000000E+00,+8.333333E-05
-2.4081000000E+00,+1.833333E-04
-2.4076000000E+00,+2.500000E-04
-2.4071000000E+00,+1.625000E-04
-2.4066000000E+00,+1.250000E-05
-2.4061000000E+00,-7.500000E-05
-2.4056000000E+00,-1.979167E-04
-2.4051000000E+00,+1.125000E-04
-2.4046000000E+00,+7.291666E-05
-2.4041000000E+00,-5.000000E-05
-2.4036000000E+00,-2.562500E-04
-2.4031000000E+00,-2.083333E-04
-2.4026000000E+00,-4.375000E-04
-2.4021000000E+00,-1.062500E-04
-2.4016000000E+00,-1.041667E-04
-2.4011000000E+00,-1.770833E-04
-2.4006000000E+00,-5.291667E-04
-2.4001000000E+00,-5.145833E-04
-2.3996000000E+00,-1.187500E-04
-2.3991000000E+00,-1.854167E-04
-2.3986000000E+00,-3.270833E-04
-2.3981000000E+00,-5.145833E-04
-2.3976000000E+00,-6.458333E-04
-2.3971000000E+00,-6.208334E-04
-2.3966000000E+00,-4.291667E-04
-2.3961000000E+00,-4.854167E-04
-2.3956000000E+00,-6.229167E-04
-2.3951000000E+00,-7.916667E-04
-2.3946000000E+00,-7.229167E-04
-2.3941000000E+00,-8.791667E-04
-2.3936000000E+00,-6.895834E-04
-2.3931000000E+00,-5.062500E-04
-2.3926000000E+00,-8.062500E-04
-2.3921000000E+00,-1.045833E-03
-2.3916000000E+00,-9.604167E-04
-2.3911000000E+00,-8.541667E-04
-2.3906000000E+00,-5.604167E-04
-2.3901000000E+00,-8.562500E-04
-2.3896000000E+00,-1.245833E-03
-2.3891000000E+00,-1.175000E-03
-2.3886000000E+00,-7.187500E-04
-2.3881000000E+00,-1.002083E-03
-2.3876000000E+00,-1.002083E-03
-2.3871000000E+00,-1.081250E-03
-2.3866000000E+00,-1.260417E-03
-2.3861000000E+00,-1.216667E-03
-2.3856000000E+00,-1.006250E-03
-2.3851000000E+00,-9.458333E-04
-2.3846000000E+00,-1.091667E-03
-2.3841000000E+00,-1.012500E-03
-2.3836000000E+00,-1.222917E-03
-2.3831000000E+00,-1.252083E-03
-2.3826000000E+00,-9.708334E-04
-2.3821000000E+00,-1.041667E-03
-2.3816000000E+00,-1.087500E-03
-2.3811000000E+00,-1.229167E-03
-2.3806000000E+00,-1.206250E-03
-2.3801000000E+00,-9.250000E-04
-2.3796000000E+00,-1.035417E-03
-2.3791000000E+00,-8.250000E-04
-2.3786000000E+00,-1.052083E-03
-2.3781000000E+00,-1.318750E-03
-2.3776000000E+00,-1.312500E-03
-2.3771000000E+00,-1.016667E-03
-2.3766000000E+00,-8.895833E-04
-2.3761000000E+00,-1.016667E-03
-2.3756000000E+00,-9.791667E-04
-2.3751000000E+00,-9.937501E-04
-2.3746000000E+00,-1.118750E-03
-2.3741000000E+00,-9.729167E-04
-2.3736000000E+00,-9.791667E-04
-2.3731000000E+00,-8.937500E-04
-2.3726000000E+00,-9.875001E-04
-2.3721000000E+00,-1.162500E-03
-2.3716000000E+00,-8.770833E-04
-2.3711000000E+00,-5.145833E-04
-2.3706000000E+00,-6.104167E-04
-2.3701000000E+00,-9.937501E-04
-2.3696000000E+00,-9.145833E-04
-2.3691000000E+00,-7.437500E-04
-2.3686000000E+00,-6.333333E-04
-2.3681000000E+00,-3.854167E-04
-2.3676000000E+00,-4.583334E-04
-2.3671000000E+00,-5.000000E-04
-2.3666000000E+00,-5.916667E-04
-2.3661000000E+00,-7.541667E-04
-2.3656000000E+00,+7.291666E-05
-2.3651000000E+00,-3.250000E-04
-2.3646000000E+00,-4.125000E-04
-2.3641000000E+00,-4.729167E-04
-2.3636000000E+00,-4.333333E-04
-2.3631000000E+00,-1.479167E-04
-2.3626000000E+00,-2.291667E-05
-2.3621000000E+00,-9.583333E-05
-2.3616000000E+00,-1.937500E-04
-2.3611000000E+00,-4.416667E-04
-2.3606000000E+00,+3.750000E-05
-2.3601000000E+00,+1.062500E-04
-2.3596000000E+00,+2.291667E-04
-2.3591000000E+00,+1.791667E-04
-2.3586000000E+00,-1.208333E-04
-2.3581000000E+00,-1.770833E-04
-2.3576000000E+00,+3.250000E-04
-2.3571000000E+00,+4.937500E-04
-2.3566000000E+00,+4.854167E-04
-2.3561000000E+00,+7.500000E-05
-2.3556000000E+00,+3.145833E-04
-2.3551000000E+00,+3.229167E-04
-2.3546000000E+00,+4.416667E-04
-2.3541000000E+00,+6.729166E-04
-2.3536000000E+00,+6.333333E-04
-2.3531000000E+00,+3.187500E-04
-2.3526000000E+00,+4.145833E-04
-2.3521000000E+00,+4.187500E-04
-2.3516000000E+00,+5.062500E-04
-2.3511000000E+00,+8.520833E-04
-2.3506000000E+00,+6.375000E-04
-2.3501000000E+00,+4.791667E-04
-2.3496000000E+00,+4.979167E-04
-2.3491000000E+00,+7.500000E-04
-2.3486000000E+00,+8.791666E-04
-2.3481000000E+00,+6.770833E-04
-2.3476000000E+00,+7.437500E-04
-2.3471000000E+00,+6.187500E-04
-2.3466000000E+00,+8.833333E-04
-2.3461000000E+00,+9.750000E-04
-2.3456000000E+00,+9.041667E-04
-2.3451000000E+00,+8.416667E-04
-2.3446000000E+00,+6.104167E-04
-2.3441000000E+00,+7.479167E-04
-2.3436000000E+00,+5.270833E-04
-2.3431000000E+00,+1.106250E-03
-2.3426000000E+00,+8.437500E-04
-2.3421000000E+00,+7.875000E-04
-2.3416000000E+00,+8.062500E-04
-2.3411000000E+00,+7.937500E-04
-2.3406000000E+00,+5.312500E-04
-2.3401000000E+00,+1.189583E-03
-2.3396000000E+00,+1.035417E-03
-2.3391000000E+00,+6.854167E-04
-2.3386000000E+00,+6.541667E-04
-2.3381000000E+00,+6.708333E-04
-2.3376000000E+00,+8.666667E-04
-2.3371000000E+00,+8.708333E-04
-2.3366000000E+00,+9.562500E-04
-2.3361000000E+00,+8.270834E-04
-2.3356000000E+00,+5.354166E-04
-2.3351000000E+00,+8.187500E-04
-2.3346000000E+00,+8.104166E-04
-2.3341000000E+00,+1.360417E-03
-2.3336000000E+00,+6.125000E-04
-2.3331000000E+00,+4.541667E-04
-2.3326000000E+00,+7.500000E-04
-2.3321000000E+00,+7.041667E-04
-2.3316000000E+00,+7.333333E-04
-2.3311000000E+00,+8.000000E-04
-2.3306000000E+00,+2.812500E-04
-2.3301000000E+00,+4.395833E-04
-2.3296000000E+00,+7.166667E-04
-2.3291000000E+00,+5.937500E-04
-2.3286000000E+00,+6.270834E-04
-2.3281000000E+00,+4.625000E-04
-2.3276000000E+00,+4.500000E-04
-2.3271000000E+00,+3.125000E-04
-2.3266000000E+00,+3.979167E-04
-2.3261000000E+00,+4.875000E-04
-2.3256000000E+00,+3.562500E-04
-2.3251000000E+00,+3.937500E-04
-2.3246000000E+00,+1.208333E-04
-2.3241000000E+00,+1.020833E-04
-2.3236000000E+00,+4.604167E-04
-2.3231000000E+00,+3.395833E-04
-2.3226000000E+00,+2.916667E-04
-2.3221000000E+00,-7.291667E-05
-2.3216000000E+00,+5.208333E-05
-2.3211000000E+00,-3.541667E-05
-2.3206000000E+00,+1.208333E-04
-2.3201000000E+00,-4.583333E-05
-2.3196000000E+00,-1.291667E-04
-2.3191000000E+00,-4.145833E-04
-2.3186000000E+00,-3.062500E-04
-2.3181000000E+00,-2.645833E-04
-2.3176000000E+00,-3.375000E-04
-2.3171000000E+00,-4.312500E-04
-2.3166000000E+00,-3.562500E-04
-2.3161000000E+00,-4.916667E-04
-2.3156000000E+00,-5.500000E-04
-2.3151000000E+00,-2.520834E-04
-2.3146000000E+00,-4.125000E-04
-2.3141000000E+00,-2.708333E-04
-2.3136000000E+00,-7.145833E-04
-2.3131000000E+00,-5.604167E-04
-2.3126000000E+00,-6.354167E-04
-2.3121000000E+00,-5.083333E-04
-2.3116000000E+00,-4.375000E-04
-2.3111000000E+00,-4.520833E-04
-2.3106000000E+00,-9.770833E-04
-2.3101000000E+00,-9.875001E-04
-2.3096000000E+00,-7.812500E-04
-2.3091000000E+00,-8.541667E-04
-2.3086000000E+00,-7.583334E-04
-2.3081000000E+00,-8.937500E-04
-2.3076000000E+00,-9.291667E-04
